========== 性能指标评价 ==========,,,,,,,,
,,,,,,,,
,Fx,Fy,Fz,Mx,My,Mz,,
负值循环,-1000.0,-1002.99076201,0.19190039,"[-1003.17736045, -1003.00095929, -1002.79396629]",-1002.99076201,0.19190039,"[-1003.17736045, -1003.00095929, -1002.79396629]",0.00000000
负值循环,-800.0,-801.86930804,0.21878161,"[-801.84474095, -802.09933624, -801.66384693]",-802.00801876,0.26629663,"[-802.31541885, -801.84777779, -801.86085964]",0.13871072
负值循环,-600.0,-600.85482644,0.09066084,"[-600.89257375, -600.92051485, -600.75139072]",-601.22226862,0.24156215,"[-601.50120042, -601.08255436, -601.08305109]",0.36744218
负值循环,-400.0,-399.92109830,0.09812936,"[-400.02799550, -399.90019370, -399.83510570]",-400.37703731,0.18688679,"[-400.57257281, -400.35833329, -400.20020582]",0.45593901
负值循环,-200.0,-199.18849560,0.15786591,"[-199.35894626, -199.15923076, -199.04730979]",-199.71970283,0.30730690,"[-200.04860844, -199.67059021, -199.43990985]",0.53120723
负值循环,0.0,0.23512095,0.21763793,"[0.00000000, 0.27583825, 0.42952460]",0.42331223,0.14446801,"[0.27583825, 0.42952460, 0.56457385]",0.18819128
正循环标准偏差,0.10206536,,,,,,,
负循环标准偏差,0.20231060,,,,,,,
重复性,0.00040462,,,,,,,
Last记录量,0.00000081,,,,,,,
迟滞性,0.00054771,,,,,,,
,,,,,,,,
线性度数据,,,,,,,,
平均电压值,标准压力值,Y=ax+b,标准压力值-最小二乘法,数值列表
1882.18000000,-1000.0,-1097.34451842,97.34451842,"[1879.61000000, 1884.13000000, 1882.80000000]"
358.55483333,-200.0,-140.21730107,-59.78269893,"[345.33000000, 373.63700000, 345.36600000, 369.14800000, 347.30700000, 370.54100000]"
727.17933333,-400.0,-371.78379764,-28.21620236,"[708.19000000, 747.16800000, 709.51000000, 743.26100000, 708.53500000, 746.41200000]"
1111.64666667,-600.0,-613.30261537,13.30261537,"[1091.17000000, 1124.66000000, 1090.06000000, 1122.83000000, 1115.94000000, 1125.22000000]"
1489.93166667,-800.0,-850.93774856,50.93774856,"[1474.17000000, 1499.34000000, 1477.63000000, 1501.94000000, 1480.20000000, 1506.31000000]"
0.39591275,0(正),84.77481545,-84.77481545,"[0.00000000, 2.08904000, 0.52045100, -1.02584000]"
6.43921500,0(负),80.97846895,-80.97846895,"[0.00000000, 6.58142000, 7.43744000, 11.73800000]"
-1274.08000000,1000.0,885.38877920,114.61122080,"[-1274.23000000, -1272.88000000, -1275.13000000]"
-262.31333333,200.0,249.80633053,-49.80633053,"[-252.61800000, -273.76700000, -251.56700000, -269.74500000, -253.06400000, -273.11900000]"
-522.43516667,400.0,413.21245690,-13.21245690,"[-509.27400000, -536.13200000, -508.30500000, -533.44300000, -510.53500000, -536.92200000]"
-779.45016667,600.0,574.66689933,25.33310067,"[-765.05400000, -793.92800000, -764.89000000, -791.78100000, -765.94800000, -795.10000000]"
-1033.13833333,800.0,734.03145589,65.96854411,"[-1019.84000000, -1046.74000000, -1018.64000000, -1044.32000000, -1022.06000000, -1047.23000000]"
总计,0.00000000,,,
SUMPRODUCT,-32131581.20000000,,,
MAX(ABS(差值))/1000,114.61122080,,0.11461122,
a,-0.62819074,,,
b,85.02352417,,,
,,,,,,,,
,,,,,,,,
========== Fz 通道 ==========,,,,,,,,
重复性误差,,,,,,,,
循环类型,Fz设定值,上升沿平均值,上升沿标准差,上升沿数值列表,下降沿平均值,下降沿标准差,下降沿数值列表,|正行程平均值-反行程平均值|
正值循环,0.0,-0.11485765,0.11273456,"[0.00000000, -0.11923112, -0.22534184]",-0.20692419,0.08008861,"[-0.11923112, -0.22534184, -0.27619962]",0.09206654
正值循环,300.0,299.91837640,0.29282951,"[300.25531117, 299.77451269, 299.72530534]",299.86603106,0.10815313,"[299.97691406, 299.86034717, 299.76083194]",0.05234534
正值循环,600.0,600.19467081,0.06907829,"[600.26605772, 600.18979524, 600.12815947]",600.08329469,0.07779186,"[600.15664208, 600.09152862, 600.00171338]",0.11137612
正值循环,900.0,900.31650113,0.11812303,"[900.43217270, 900.32126020, 900.19607049]",900.17828379,0.02101720,"[900.20251216, 900.16737888, 900.16496034]",0.13821734
正值循环,1200.0,1200.03260362,0.07925705,"[1200.09748652, 1200.05605793, 1199.94426640]",1200.08034486,0.08375815,"[1200.17491771, 1200.05059154, 1200.01552533]",0.04774124
正值循环,1500.0,1499.25349350,0.19463322,"[1499.47374237, 1499.18209778, 1499.10464034]",1499.25349350,0.19463322,"[1499.47374237, 1499.18209778, 1499.10464034]",0.00000000
正循环标准偏差,0.13869899,,,,,,,
负循环标准偏差,0.00000000,,,,,,,
重复性,0.00018493,,,,,,,
Last记录量,0.00000025,,,,,,,
迟滞性,0.00009214,,,,,,,
,,,,,,,,
线性度数据,,,,,,,,
平均电压值,标准压力值,Y=ax+b,标准压力值-最小二乘法,数值列表
0.22629875,0(正),-0.37214030,0.37214030,"[0.00000000, 0.16837300, 0.31602500, 0.42079700]"
-1247.13666667,1200.0,1200.12535791,-0.12535791,"[-1247.18000000, -1247.28000000, -1247.13000000, -1247.13000000, -1247.01000000, -1247.09000000]"
-1557.89000000,1500.0,1499.20318014,0.79681986,"[-1558.11000000, -1557.81000000, -1557.75000000]"
-311.78716667,300.0,299.91846879,0.08153121,"[-312.21800000, -311.89700000, -311.66800000, -311.73300000, -311.59300000, -311.61400000]"
-623.83100000,600.0,600.23830482,-0.23830482,"[-624.05900000, -623.85900000, -623.88600000, -623.74800000, -623.79300000, -623.64100000]"
-935.67350000,900.0,900.36437195,-0.36437195,"[-935.90700000, -935.65500000, -935.73500000, -935.58100000, -935.59600000, -935.56700000]"
总计,22500.00000000,,,
SUMPRODUCT,-23849534.40000000,,,
MAX(ABS(差值))/1500,0.79681986,,0.00053121,
a,-0.96242836,,,
b,-0.15434397,,,
,,,,,,,,
,,,,,,,,
========== Mx 通道 ==========,,,,,,,,
重复性误差,,,,,,,,
循环类型,Mx设定值,上升沿平均值,上升沿标准差,上升沿数值列表,下降沿平均值,下降沿标准差,下降沿数值列表,|正行程平均值-反行程平均值|
正值循环,0.0,0.08111579,0.07183695,"[0.00000000, 0.10664973, 0.13669764]",0.12822187,0.01882433,"[0.10664973, 0.13669764, 0.14131825]",0.04710608
正值循环,4.9,4.55708472,0.05015169,"[4.50744023, 4.55608526, 4.60772868]",5.53188911,0.03799369,"[5.48814313, 5.55089210, 5.55663211]",0.97480439
正值循环,9.8,9.30041318,0.09812134,"[9.19194707, 9.32628916, 9.38300331]",10.22422680,0.04277843,"[10.17648516, 10.25907694, 10.23711831]",0.92381362
正值循环,14.7,14.14978550,0.07344073,"[14.07345085, 14.15596365, 14.21994199]",14.87392251,0.04854852,"[14.82085122, 14.91609585, 14.88482046]",0.72413701
正值循环,19.6,18.92879291,0.08910684,"[18.82709042, 18.96613555, 18.99315275]",19.42879540,0.07267560,"[19.34601666, 19.45824727, 19.48212226]",0.50000249
正值循环,24.5,23.67196113,0.11025037,"[23.54490450, 23.72858988, 23.74238902]",23.67196113,0.11025037,"[23.54490450, 23.72858988, 23.74238902]",0.00000000
负值循环,-24.5,-24.23545851,0.06070424,"[-24.16901128, -24.24935394, -24.28801032]",-24.23545851,0.06070424,"[-24.16901128, -24.24935394, -24.28801032]",0.00000000
